J3_2%,J3_10%,J3_30%,J3_50%,J3_70%,J3_90%,J3_100%
352.4,385.6,419.4,441.2,463.6,491.6,528.2
350.6,388.0,421.2,444.2,468.2,500.2,554.0
351.0,384.2,416.4,441.8,463.2,491.2,535.2
349.0,382.4,416.0,438.2,460.6,488.0,521.4
358.2,390.0,422.8,443.2,464.6,492.6,540.1
352.4,388.4,421.6,443.8,466.0,493.4,532.0
361.6,394.8,426.8,449.2,471.0,498.0,539.6
369.2,397.6,426.8,448.4,469.8,497.2,538.6
370.8,398.2,427.0,448.0,468.6,495.4,530.2
375.6,400.6,426.8,446.4,466.4,493.4,535.0
376.0,400.6,427.0,447.0,467.6,495.6,541.6
376.6,401.2,428.0,448.4,469.2,496.4,539.4
349.6,385.6,421.6,446.4,471.0,501.0,536.2
361.6,395.8,426.8,448.8,471.2,501.4,548.2
370.2,395.6,422.6,444.2,466.0,495.8,543.0
348.2,385.6,420.6,444.6,468.4,498.4,535.2
378.0,405.0,433.2,456.4,480.4,511.2,558.8
359.0,395.6,428.3,452.6,476.4,505.8,545.4
363.4,399.0,432.0,455.6,480.2,510.0,550.8
352.1,395.8,417.6,442.8,463.6,484.4,536.6
351.0,392.4,416.8,441.6,466.6,497.8,538.8
350.0,387.4,413.2,439.9,461.0,483.8,545.6
364.8,400.4,432.0,454.2,476.0,502.4,545.2
366.6,401.0,433.4,457.4,478.8,502.4,533.8
368.0,400.8,433.0,457.2,478.6,502.4,533.4
365.0,397.2,428.2,451.6,473.4,497.4,527.4
363.8,399.0,430.6,453.0,475.0,501.6,542.8
366.2,402.0,433.6,456.6,478.0,504.2,543.8
353.6,393.8,424.6,446.4,467.6,493.8,534.8
363.2,390.4,417.4,438.2,459.8,484.2,517.4
365.0,390.4,418.0,439.0,460.6,484.6,518.2
351.8,392.6,423.8,445.8,467.4,494.0,534.2
363.0,388.2,417.4,439.2,461.2,485.2,519.6
356.2,388.2,418.4,439.4,460.4,486.8,525.2
358.6,393.6,425.8,449.2,472.4,500.0,538.2
361.8,387.2,418.4,442.8,468.0,495.0,532.0
354.0,391.2,425.6,451.0,470.0,496.2,536.2
355.4,394.2,427.4,451.8,475.6,494.2,539.4
355.4,391.4,424.2,448.2,472.6,501.8,548.6
356.8,392.2,425.4,449.6,473.8,502.8,544.8
367.4,391.2,420.4,444.4,469.0,495.4,533.0
