T (K),"-CH3,neutral","-CH3,P-based","-CH3,N-based","-CH3,anion-based",-CH2-neutral,-CH2-P-based,-CH2-N-based,-CH2-anion-based,>CH-,>C<,-OH,-O-,-COOH,-COO-,-NH2,-NH-,>N-cation-based,>N-anion-based,>N-neutral,-CN,-F,-Br,-I,-Pcation-based,-Panion-based,-B,-S-, -SO2,=CH-, =C<, -O-, =N-
267.88,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
269.77,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
271.66,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
273.55,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
275.44,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
277.33,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
279.22,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
281.11,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
283,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
284.89,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
286.78,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
288.67,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
290.56,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
292.45,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
294.34,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
296.23,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
298.12,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
300.01,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
301.9,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
